"CBO","DIT","FanIn","FanOut","LCOM","NOC","NOA","NOAI","LOC","NOM","NOMI","NOPRA","NOPRM","NOPA","NOPM","RFC","WMC","change_probability"
"9","2","1","9","15","0","1","8","122","6","19","0","0","1","5","34","20","1174"
"1","1","1","0","0","0","2","0","4","1","8","0","0","2","1","1","1","10"
"114","1","102","18","190","6","131","249","484","20","8","0","1","3","19","156","176","2129"
"5","6","1","4","10","0","0","61","33","5","207","0","0","0","4","18","12","261"
"6","4","2","4","78","0","4","96","87","13","88","2","0","0","3","46","23","609"
"2","1","2","0","1","0","4","0","9","2","8","0","0","4","2","2","2","43"
"4","3","3","1","6","1","3","3","9","4","17","0","0","1","3","5","3","260"
"6","2","3","4","105","0","5","95","95","15","68","3","0","0","6","51","25","289"
"8","2","4","4","15","0","6","0","42","6","23","6","0","0","5","14","10","205"
"1","2","1","0","136","0","15","2","53","17","41","1","0","1","17","18","19","140"
"4","2","3","1","3","0","2","0","14","3","15","0","0","2","2","4","4","21"
"1","1","1","1","6","1","1","0","20","4","8","0","0","1","3","5","6","390"
"1","2","1","0","1","2","0","5","0","2","19","0","0","0","2","2","0","0"
"4","1","1","3","45","0","1","0","52","10","17","0","0","1","10","34","17","814"
"6","3","3","3","3","0","2","1","16","3","31","2","0","0","2","8","4","110"
"2","2","2","0","0","0","0","0","3","1","43","0","0","0","1","2","1","290"
"9","3","1","8","45","0","7","126","166","10","44","0","0","7","10","40","39","1409"
"3","1","0","3","45","0","4","0","144","10","8","0","3","4","7","40","37","25"
"5","3","3","3","10","1","1","13","35","5","55","0","0","0","1","12","13","2"
"3","2","1","2","10","0","3","0","72","5","22","3","1","0","3","55","15","121"
"7","6","5","3","15","2","2","385","52","6","95","0","0","2","5","17","12","582"
"5","2","5","0","66","0","16","152","55","12","41","15","1","1","11","14","27","542"
"5","3","1","5","105","0","5","95","96","15","73","3","0","0","6","51","25","729"
"6","5","1","5","78","0","1","62","56","13","202","0","0","0","8","22","20","29"
"31","1","24","7","190","0","24","0","245","20","8","3","3","21","17","72","72","3404"
"5","2","2","3","300","0","13","2","258","25","41","8","1","1","24","130","56","535"
"14","4","4","11","703","0","14","50","419","38","185","0","0","0","20","162","94","3581"
"3","5","1","2","10","0","0","58","34","5","179","0","0","0","4","12","7","2"
"3","6","1","2","21","0","1","384","39","7","79","0","0","0","7","14","11","341"
"6","2","3","4","136","0","7","119","197","17","16","1","1","6","7","54","68","167"
"1","4","1","0","0","0","0","7","0","1","28","0","0","0","1","1","0","44"
"5","1","2","3","55","2","7","0","81","11","28","7","0","0","5","29","21","22"
"6","5","4","2","10","1","1","388","45","5","78","0","0","1","5","13","16","264"
"14","3","1","13","15","0","3","19","167","6","67","0","4","3","1","51","36","148"
"13","1","8","6","45","1","2","0","151","10","8","0","3","2","6","53","53","311"
"1","1","1","0","3","0","1","0","11","3","8","0","0","0","3","3","3","240"
"3","3","1","2","3","0","1","3","27","3","17","0","1","1","1","7","8","334"
"2","5","1","2","10","0","2","61","50","5","49","0","1","1","1","10","15","1281"
"8","3","2","7","28","0","2","52","69","8","27","0","0","1","5","24","25","2088"
"5","1","1","4","36","0","3","0","109","9","16","0","2","3","7","30","31","298"
"35","1","32","3","55","16","0","0","85","11","8","0","0","0","0","16","21","114"
"7","6","2","5","10","0","0","385","35","5","95","0","0","0","4","24","11","344"
"16","1","11","5","10","0","3","0","62","5","8","1","0","2","5","18","22","260"
"13","2","1","13","15","0","1","8","207","6","19","0","0","1","5","58","30","2540"
"3","1","1","2","36","0","4","0","83","9","8","0","1","4","8","24","25","1149"
"7","2","4","3","6","17","4","0","18","4","22","3","0","0","4","10","5","59"
"1","1","1","0","55","1","0","0","43","11","8","0","0","0","0","11","11","322"
"13","2","1","12","1","0","0","270","166","2","48","0","0","0","2","42","29","1372"
"8","2","1","7","28","0","7","141","264","8","35","0","0","7","5","85","63","1435"
"6","3","1","5","6","0","2","135","107","4","67","0","0","2","2","24","49","124"
"11","4","6","6","15","0","2","49","64","6","148","0","0","2","2","18","18","488"
"17","3","2","15","21","0","2","25","83","7","82","0","0","0","3","49","20","743"
"8","1","3","5","10","1","10","0","140","5","8","0","0","4","4","37","48","772"
"1","2","1","0","1","0","3","0","11","2","11","0","0","3","1","2","4","38"
"5","2","1","4","10","0","4","0","27","5","22","4","0","0","4","12","7","154"
"4","3","1","3","66","0","3","95","59","12","73","2","0","0","3","35","16","497"
"1","4","1","0","0","0","5","6","0","1","21","0","0","5","1","1","0","59"
"11","2","2","9","45","0","8","0","108","10","18","0","0","8","9","51","34","898"
"3","1","2","1","3","0","5","0","25","3","8","0","0","5","1","5","7","270"
"9","3","1","8","10","0","0","22","90","5","78","0","1","0","0","34","30","710"
"6","1","6","0","1","5","0","0","0","2","8","0","0","0","2","2","0","23"
"4","2","1","3","10","2","2","141","23","5","35","0","0","2","5","13","6","509"
"4","3","2","2","36","0","1","95","31","9","75","1","0","0","1","19","9","123"
"9","3","8","1","28","2","1","380","31","8","38","0","0","1","8","14","11","159"
"5","1","1","5","10","0","11","0","140","5","16","3","1","8","4","28","25","167"
"6","3","1","5","91","0","5","95","86","14","73","3","0","0","4","48","22","689"
"4","2","1","4","21","0","1","68","67","7","33","0","0","0","4","18","25","171"
"28","2","1","28","36","0","4","17","423","9","19","0","3","0","3","149","56","4261"
"2","2","1","1","1","0","0","219","10","2","55","0","0","0","2","3","3","22"
"4","3","1","3","6","0","5","1","33","4","31","5","0","0","4","9","7","145"
"6","3","1","6","171","0","10","95","136","19","73","6","0","0","9","72","38","1227"
"6","1","1","5","1","0","1","114","131","2","9","1","0","0","2","38","24","629"
"8","5","1","7","45","0","5","55","210","10","171","0","0","5","10","70","47","677"
"7","3","4","4","10","1","1","37","34","5","72","0","0","0","5","13","6","827"
"6","1","3","3","15","0","9","0","116","6","8","1","0","6","6","34","31","36"
"5","3","1","4","91","0","5","95","98","14","73","3","0","0","5","49","24","722"
"2","4","1","1","3","0","1","61","17","3","45","0","0","0","1","7","4","1080"
"12","2","1","11","105","0","5","0","163","15","19","1","4","1","3","88","35","138"
"10","2","3","7","28","0","1","0","46","8","18","0","0","1","8","25","12","279"
"11","4","1","11","55","1","0","52","63","11","127","0","0","0","6","34","22","538"
"6","2","1","6","105","0","5","95","91","15","68","3","0","0","5","50","23","684"
"8","1","7","1","45","0","4","0","34","10","8","0","0","4","10","12","14","1831"
"3","2","1","2","120","0","5","11","123","16","18","0","0","0","16","43","31","650"
"7","1","4","4","15","0","3","0","56","6","8","3","0","0","6","16","19","455"
"13","1","9","4","1","1","6","0","14","2","23","1","0","5","2","11","5","371"
"6","3","1","5","91","0","5","95","106","14","73","3","0","0","5","54","27","780"
"4","3","1","3","28","0","7","1","50","8","36","7","0","0","7","23","13","260"
"16","4","3","13","15","0","2","384","195","6","69","0","0","2","6","75","56","1691"
"1","3","1","0","1","0","0","384","9","2","31","0","0","0","2","5","2","0"
"3","2","3","0","66","0","1","152","37","12","41","1","1","0","11","14","12","378"
"5","2","1","5","36","0","1","68","124","9","33","0","0","0","5","30","44","408"
"3","2","3","0","3","6","1","2","6","3","14","0","0","0","3","3","2","107"
"0","7","0","0","1","0","2","388","7","2","87","0","0","0","2","2","2","160"
"1","2","1","1","21","0","2","68","74","7","33","0","0","2","4","17","25","6"
"4","1","2","2","55","0","4","0","118","11","8","0","2","4","9","33","36","1067"
"26","2","1","26","190","0","4","68","526","20","33","1","4","1","5","176","175","2570"
"2","1","2","0","10","0","4","0","18","5","16","4","0","0","5","5","5","377"
"1","2","1","0","0","0","0","11","3","1","47","0","0","0","1","1","1","5"
"3","3","1","2","66","0","3","95","60","12","73","2","0","0","3","35","16","499"
"15","2","2","13","15","1","4","18","223","6","62","0","0","4","2","104","46","363"
"18","2","7","11","136","4","4","18","165","17","62","0","1","0","2","81","56","2020"
"5","1","3","2","3","0","2","0","77","3","8","2","0","0","3","12","12","236"
"7","7","1","6","15","1","0","386","38","6","97","0","0","0","6","17","10","465"
"15","1","10","6","120","1","10","0","383","16","16","2","0","2","13","122","93","3613"
"7","4","1","7","136","0","5","99","98","17","100","1","0","0","1","57","26","709"
"3","1","1","2","45","0","4","0","64","10","8","0","0","4","10","20","18","536"
"17","1","4","13","66","1","6","48","144","12","11","0","4","1","5","54","38","8535"
"6","3","1","5","91","0","5","95","107","14","73","3","0","0","5","53","27","778"
"1","1","1","0","10","2","0","5","12","5","14","0","0","0","5","5","4","286"
"22","1","5","18","55","2","5","0","242","11","8","0","0","0","3","89","51","3175"
"9","2","0","9","66","0","5","2","89","12","41","3","1","2","11","54","26","0"
"12","3","2","11","36","0","1","5","155","9","21","1","0","0","9","60","40","802"
"1","4","1","0","3","1","0","37","9","3","85","0","0","0","1","3","3","207"
"1","1","1","0","45","0","3","0","55","10","8","0","1","3","9","27","18","0"
"1","2","0","1","1","0","1","1","9","2","18","0","0","1","2","6","4","32"
"20","4","5","15","300","0","7","52","222","25","129","0","3","7","16","78","55","268"
"1","1","1","0","0","0","2","0","4","1","8","0","0","2","1","1","1","136"
"11","4","3","8","28","0","0","28","62","8","91","0","1","0","2","35","16","653"
"16","3","12","4","45","0","3","380","97","10","38","0","0","3","10","32","30","1614"
"12","3","9","3","66","0","3","95","72","12","76","2","0","0","3","37","19","583"
"3","2","2","1","1","0","1","1","9","2","18","0","1","1","1","5","3","110"
"6","1","3","3","3","0","2","0","27","3","8","2","0","0","3","13","7","44"
"3","1","2","2","10","0","2","0","30","5","8","0","1","1","4","10","8","50"
"4","2","1","3","6","0","5","1","17","4","11","0","0","5","4","7","4","285"
"5","3","3","2","3","0","3","1","22","3","31","3","0","0","3","6","5","154"
"4","1","1","3","1","0","2","0","12","2","8","2","1","0","1","5","2","18"
"5","2","2","3","3","0","0","8","30","3","19","0","0","0","3","10","9","142"
"3","4","1","2","6","0","1","35","24","4","47","0","0","1","4","8","6","300"
"2","3","1","1","1","0","0","387","12","2","32","0","0","0","2","7","4","275"
"3","2","3","0","6","0","3","28","13","4","16","1","0","2","3","4","4","234"
"8","2","4","4","10","0","1","18","35","5","62","0","0","0","4","15","12","475"
"1","4","1","0","6","0","3","3","13","4","38","3","0","0","4","4","4","600"
"5","3","3","2","28","0","1","95","29","8","73","1","0","0","1","18","8","313"
"4","2","2","2","3","0","2","0","14","3","15","2","0","0","2","5","5","23"
"12","1","10","2","15","0","2","0","28","6","10","0","0","0","6","12","8","292"
"1","2","1","0","0","0","0","2","3","1","33","0","0","0","1","1","1","10"
"3","3","1","2","3","0","3","1","21","3","31","3","0","0","3","5","5","174"
"12","2","1","11","15","0","2","18","120","6","62","0","0","2","1","49","26","244"
"9","4","0","9","6","0","0","384","72","4","41","0","0","0","4","28","16","170"
"7","2","4","4","171","0","15","119","238","19","16","1","1","5","11","62","86","166"
"23","2","4","20","276","1","9","3","305","24","25","0","4","0","17","135","86","3485"
"4","3","1","3","6","0","1","388","80","4","33","0","1","1","3","11","27","150"
"2","3","1","1","3","0","3","1","23","3","31","3","0","0","3","5","5","129"
"12","3","4","9","45","1","3","3","110","10","17","0","2","0","2","37","30","802"
"9","2","4","5","66","1","3","0","92","12","13","1","0","0","6","61","29","1477"
"6","3","1","5","136","0","9","95","117","17","73","5","0","0","7","61","29","993"
"2","1","1","1","45","1","11","0","48","10","8","0","0","0","0","11","12","151"
"11","3","0","11","15","0","6","380","192","6","38","0","0","6","6","69","45","2085"
"7","3","1","6","105","0","3","95","220","15","73","2","0","0","5","85","57","1310"
"4","1","3","1","10","0","4","0","47","5","8","0","0","4","5","11","17","162"
"13","1","12","1","6","0","0","0","40","4","8","0","0","0","4","8","4","500"
"3","1","1","2","1","0","0","0","23","2","8","0","1","0","1","16","7","339"
"6","2","3","4","45","1","4","58","121","10","24","4","0","0","1","51","50","17"
"2","2","1","1","1","0","3","28","24","2","25","0","0","3","2","4","2","277"
"2","1","1","1","10","0","3","0","27","5","8","3","0","0","5","8","8","418"
"8","3","8","0","1","0","2","37","8","2","72","1","0","1","2","2","4","247"
"2","6","2","1","3","0","2","68","13","3","210","2","0","0","3","5","3","0"
"4","2","1","3","36","0","3","3","48","9","27","2","0","0","0","25","12","4"
"4","1","1","3","15","0","3","0","88","6","8","3","0","0","6","17","32","1154"
"16","1","9","7","276","1","7","0","276","24","16","0","0","0","16","79","49","1655"
"2","6","2","0","0","0","2","67","7","1","58","0","0","0","1","2","1","640"
"25","1","23","2","55","0","4","0","127","11","16","0","1","4","10","31","45","33"
"24","5","11","13","45","4","1","52","178","10","161","0","1","0","5","82","34","469"
"2","4","2","0","1","0","1","6","4","2","25","0","0","1","1","2","1","195"
"1","6","1","0","10","1","1","11","12","5","47","0","0","0","4","5","4","12"
"6","2","4","2","28","0","2","5","59","8","13","2","0","0","8","26","15","62"
"7","2","1","6","1","0","0","52","35","2","25","0","0","0","2","14","6","651"
"2","3","1","1","66","0","3","95","59","12","73","2","0","0","3","33","16","649"
"11","2","5","6","45","0","4","1","68","10","12","0","0","4","8","38","15","852"
"2","1","2","0","3","0","5","0","10","3","16","2","0","0","3","3","3","682"
"13","3","1","12","300","0","3","170","495","25","67","1","2","2","4","130","129","504"
"17","2","10","7","120","6","3","95","74","16","68","1","0","2","7","38","19","895"
"4","3","1","3","120","0","7","95","141","16","73","4","0","0","7","65","35","998"
"7","3","4","3","190","0","7","95","127","20","82","4","0","0","7","63","33","872"
"4","3","3","2","21","0","1","7","46","7","22","0","0","1","4","15","12","567"
"16","3","2","14","36","0","2","22","102","9","78","0","2","0","1","61","26","1279"
"14","2","11","6","136","1","6","153","136","17","16","0","3","6","7","54","45","1182"
"14","1","0","14","6","0","6","0","121","4","9","5","2","1","2","59","32","272"
"6","2","4","2","105","0","24","95","70","15","68","3","0","0","5","40","19","593"
"5","3","1","4","66","0","3","95","72","12","73","2","0","0","3","39","19","575"
"13","2","2","12","91","0","11","1","112","14","12","3","2","6","9","50","36","299"
"4","1","3","1","45","0","276","0","177","10","8","1","0","0","10","26","41","11060"
"10","4","1","9","15","0","2","384","66","6","69","0","1","2","5","32","20","221"
"15","4","2","14","741","0","4","50","328","39","176","0","0","0","13","195","85","2779"
"8","1","6","2","45","0","4","0","117","10","16","0","1","4","9","24","30","113"
"0","1","0","0","1","1","5","0","0","2","8","0","0","0","2","2","0","53"
"4","3","1","4","28","0","0","69","65","8","37","0","1","0","2","21","27","318"
"7","3","5","2","78","0","13","95","59","13","76","3","0","0","4","31","16","736"
"5","2","4","1","66","0","1","152","39","12","41","1","1","0","11","14","13","510"
"3","1","1","2","6","0","2","14","17","4","11","0","0","2","4","9","5","366"
"9","2","4","6","66","2","2","0","57","12","5","0","0","0","10","30","20","12"
"0","7","0","0","1","0","2","386","7","2","86","0","0","0","2","2","2","181"
"9","2","1","9","21","0","0","19","255","7","15","0","1","0","0","77","39","1907"
"4","3","1","4","105","0","5","95","109","15","73","3","0","0","6","55","28","828"
"1","3","1","0","1","0","1","23","7","2","28","1","0","0","2","3","2","60"
"2","2","1","1","36","0","3","0","42","9","11","1","3","2","5","21","11","874"
"13","4","7","6","55","1","2","52","57","11","127","0","0","0","9","31","16","181"
"1","1","1","0","0","0","5","0","3","1","23","1","0","4","1","1","1","239"
"12","3","8","4","15","2","2","95","22","6","73","0","0","1","4","13","6","414"
"6","1","5","1","66","0","1","17","136","12","0","1","0","0","5","66","51","40"
"7","5","1","6","55","0","1","384","91","11","87","0","0","1","7","38","25","186"
"4","1","1","3","28","0","3","0","94","8","16","0","1","3","7","18","24","2"
"14","1","12","2","3","0","18","0","80","3","8","18","0","0","3","11","24","29"
"14","3","1","13","153","0","0","8","104","18","46","0","0","0","15","65","21","1430"
"3","2","1","2","28","0","7","0","51","8","25","7","0","0","7","13","12","6"
"6","3","3","3","66","0","3","95","71","12","73","2","0","0","3","37","19","559"
"3","1","3","0","45","0","0","0","0","10","8","0","0","0","10","10","0","98"
"1","3","1","0","1","0","1","37","7","2","72","0","0","1","2","2","2","19"
"4","3","1","3","91","0","5","95","109","14","73","3","0","0","5","51","27","770"
"1","6","0","1","3","0","2","386","13","3","85","0","0","2","3","7","3","0"
"9","2","0","9","21","0","1","33","103","7","82","0","1","0","2","36","30","871"
"3","1","0","3","3","0","1","0","19","3","8","0","2","0","1","8","6","1855"
"6","3","1","5","21","0","0","380","32","7","38","0","0","0","7","17","9","190"
"4","4","1","4","10","0","1","14","26","5","59","1","0","0","1","12","13","2"
"5","2","2","3","136","0","9","219","191","17","55","7","1","1","16","30","53","95"
"6","2","6","1","28","6","0","95","24","8","68","0","0","0","7","10","8","588"
"0","1","0","0","91","0","0","0","42","14","22","0","0","0","14","14","14","498"
"6","1","6","0","0","0","1","0","3","1","22","1","0","0","1","1","1","222"
"5","1","1","4","6","0","2","0","51","4","8","2","1","0","3","15","15","9"
"11","3","5","7","171","0","10","95","155","19","73","6","0","0","7","75","40","1381"
"2","5","2","0","0","0","2","83","7","1","57","0","0","0","1","2","1","492"
"6","2","1","5","21","0","1","10","136","7","15","1","0","0","1","32","39","0"
"4","3","1","3","15","0","1","9","20","6","42","1","0","0","5","11","6","121"
"5","2","1","5","10","0","1","68","69","5","33","0","0","0","4","30","35","97"
"15","3","12","3","55","0","3","95","47","11","73","2","0","0","2","29","13","438"
"6","2","3","4","136","0","8","95","121","17","68","5","0","0","7","60","31","406"
"12","1","1","11","10","0","3","0","145","5","8","0","2","3","3","62","43","1963"
"8","6","2","6","28","0","5","385","71","8","95","0","1","2","7","34","20","465"
"9","3","5","4","91","0","3","95","87","14","76","2","0","0","5","45","23","655"
"1","4","1","0","3","0","2","3","11","3","38","2","0","0","3","3","3","371"
"10","2","9","1","28","1","2","2","16","8","11","2","0","0","7","10","5","367"
"12","1","1","11","15","0","2","0","63","6","8","0","0","0","6","25","15","1227"
"5","3","1","4","66","0","3","95","72","12","73","2","0","0","3","39","19","570"
"3","3","3","0","1","4","1","2","6","2","36","0","0","1","2","2","2","0"
"1","2","0","1","3","0","2","0","10","3","13","0","1","1","2","5","4","162"
"3","2","3","0","66","0","1","152","37","12","41","1","1","0","11","14","12","380"
"4","3","1","3","6","0","3","1","31","4","32","3","0","0","3","10","7","111"
"9","3","3","6","136","0","7","97","125","17","84","3","0","0","3","63","35","1115"
"3","5","2","1","3","0","1","52","10","3","138","1","0","0","2","5","3","0"
"1","4","1","0","3","1","0","34","9","3","84","0","0","0","1","3","3","208"
"8","3","2","7","276","0","14","95","208","24","73","8","0","0","12","104","54","2179"
"1","1","1","0","0","0","2","0","3","1","23","1","0","0","1","1","1","47"
"5","1","4","1","6","0","2","0","17","4","8","0","0","2","4","8","4","2"
"3","1","3","0","3","0","7","0","9","3","8","0","0","7","3","4","4","7"
"3","2","1","2","3","0","3","219","31","3","55","0","0","3","3","7","10","327"
"13","2","7","7","136","0","8","95","130","17","68","4","0","1","7","66","36","1096"
"13","3","2","11","21","0","2","380","96","7","38","0","0","2","7","46","34","466"
"2","1","2","0","3","18","0","0","9","3","8","0","0","0","3","3","3","1756"
"8","4","8","0","1","0","2","35","9","2","47","1","0","1","2","2","2","187"
"0","1","0","0","45","0","1","0","27","10","15","0","0","0","9","10","9","324"
"2","4","1","1","1","2","6","61","34","2","45","0","0","0","1","3","12","203"
"10","3","4","6","210","4","5","38","146","21","118","0","0","0","4","61","33","1445"
"13","4","2","11","780","0","13","50","404","40","189","0","0","0","23","162","104","3414"
"2","1","2","0","10","1","0","0","12","5","8","0","0","0","5","5","4","265"
"4","3","1","3","66","0","3","95","59","12","73","2","0","0","3","35","16","493"
"1","2","1","0","0","0","1","10","4","1","13","0","0","1","0","1","1","83"
"38","1","33","5","15","0","2","0","52","6","0","1","0","1","6","30","12","690"
"4","1","3","1","15","0","3","0","56","6","8","0","1","3","5","13","19","54"
"1","2","1","0","0","0","0","2","3","1","33","0","0","0","1","1","1","130"
"8","2","1","8","6","0","1","18","83","4","62","0","0","0","2","48","21","820"
"12","2","1","11","253","0","23","8","285","23","40","23","1","0","22","66","64","642"
"9","5","1","8","55","0","2","384","158","11","77","0","0","2","11","70","37","1708"
"7","2","2","5","6","0","1","0","44","4","39","1","1","0","1","25","13","16"
"8","2","3","6","136","0","7","95","109","17","68","4","0","0","7","60","28","337"
"6","5","2","4","6","0","0","37","28","4","88","0","0","0","1","12","9","301"
"4","1","1","4","15","0","1","0","52","6","8","1","1","0","5","19","19","2476"
"10","1","6","5","10","2","0","0","17","5","8","0","0","0","5","13","4","396"
"5","1","1","5","36","0","2","0","44","9","8","2","0","0","9","26","14","135"
"4","1","3","1","45","1","2","0","69","10","8","0","0","0","10","21","13","625"
"10","4","6","5","55","2","3","52","56","11","128","0","0","0","9","30","16","0"
"5","2","2","3","36","2","8","0","82","9","15","0","0","0","6","22","22","842"
"7","1","3","5","21","2","5","0","104","7","8","0","0","5","0","25","7","837"
"16","2","1","16","231","0","8","6","232","22","30","8","1","0","20","90","71","1408"
"0","1","0","0","0","0","9","0","3","1","22","1","0","0","1","1","1","110"
"2","3","1","1","3","0","0","384","17","3","31","0","0","0","3","8","4","12"
"3","8","1","2","3","0","0","386","16","3","103","0","0","0","3","10","5","382"
"6","2","1","5","78","0","3","0","77","13","5","1","0","0","12","32","24","0"
"6","3","0","6","231","0","8","5","154","22","27","8","0","0","22","61","44","1455"
"4","2","4","0","66","0","1","152","36","12","41","0","1","1","11","14","12","471"
"4","1","1","3","15","0","3","0","88","6","8","3","0","0","6","17","32","1142"
"29","1","1","29","136","0","2","39","462","17","8","2","8","0","3","215","162","1055"
"10","4","1","9","3","0","2","11","27","3","64","2","0","0","2","19","7","11"
"16","2","1","15","15","0","2","3","216","6","12","2","3","0","3","57","52","374"
"4","1","1","3","28","0","4","0","50","8","8","0","0","4","8","17","16","183"
"16","2","1","15","105","0","7","6","155","15","23","7","1","0","13","61","43","699"
"6","2","1","6","66","1","5","55","276","12","27","2","2","0","0","126","84","39"
"4","1","0","4","0","0","0","0","73","1","0","0","0","0","1","25","3","259"
"4","1","2","2","45","0","13","0","156","10","8","2","0","2","10","33","43","58"
"12","6","1","11","15","1","2","384","76","6","91","0","0","2","6","27","17","1401"
"14","2","2","12","10","0","2","18","87","5","62","0","0","0","2","58","19","789"
"7","1","0","7","15","0","13","15","128","6","8","0","2","0","4","31","24","1787"
"4","2","1","3","6","2","1","68","36","4","33","0","0","0","3","13","15","140"
"8","2","1","7","66","0","4","18","136","12","18","4","0","0","9","63","41","1099"
"7","1","1","7","21","0","5","0","99","7","8","0","0","5","0","36","35","341"
"2","1","1","1","6","1","3","0","16","4","8","1","1","2","3","10","7","77"
"4","1","1","3","105","0","16","0","325","15","8","2","3","6","12","52","89","269"
"1","3","1","0","0","0","3","4","0","1","19","0","0","3","1","1","0","2"
"9","2","3","6","78","1","5","0","101","13","18","0","0","5","9","42","32","702"
"4","4","1","3","10","0","1","14","35","5","60","1","0","0","1","14","17","2"
