"CBO","DIT","FanIn","FanOut","LCOM","NOC","NOA","NOAI","LOC","NOM","NOMI","NOPRA","NOPRM","NOPA","NOPM","RFC","WMC","change_probability"
"5","3","2","3","6","0","4","5","33","4","31","0","0","4","2","11","16","353"
"4","3","1","3","6","0","1","143","23","4","40","0","0","1","3","10","7","473"
"18","3","1","17","21","0","4","380","163","7","38","1","0","3","7","63","32","1265"
"2","5","0","2","36","1","9","61","54","9","49","3","0","1","5","20","16","10394"
"2","1","2","0","0","0","0","0","0","1","8","0","0","0","1","1","0","14"
"2","3","1","1","1","0","0","387","11","2","32","0","0","0","2","7","4","270"
"7","1","2","5","78","0","1","0","82","13","8","1","0","0","13","46","18","463"
"6","4","2","4","6","0","0","384","29","4","48","0","0","0","4","16","10","117"
"7","1","5","2","15","1","3","0","39","6","8","0","0","2","6","19","12","67"
"13","4","1","12","3","0","7","61","61","3","45","0","0","0","2","32","13","79"
"4","2","1","3","28","0","7","0","49","8","26","7","0","0","8","21","14","84"
"3","2","1","2","3","0","1","0","62","3","13","1","1","0","1","14","8","347"
"23","1","5","18","10","0","4","0","200","5","8","4","3","0","2","85","50","1659"
"2","1","1","1","3","0","2","0","24","3","10","2","0","0","3","11","7","80"
"7","1","3","4","45","0","3","0","103","10","16","0","1","3","9","27","36","589"
"17","3","2","15","55","2","4","380","217","11","38","0","1","4","10","81","74","2869"
"2","2","2","0","0","0","0","2","3","1","33","0","0","0","1","1","1","130"
"3","3","1","2","3","0","3","1","21","3","31","3","0","0","3","5","5","123"
"19","1","3","16","36","0","6","12","271","9","11","0","4","6","4","116","79","1669"
"10","3","6","4","91","0","6","95","88","14","76","3","0","1","4","47","22","966"
"5","2","2","3","1","0","3","0","50","2","39","3","0","0","1","18","12","178"
"6","2","3","3","15","0","1","0","23","6","13","0","1","1","5","11","10","97"
"16","7","3","13","36","2","1","387","296","9","101","0","1","1","7","115","91","1694"
"19","1","4","16","190","0","17","26","332","20","8","0","1","16","17","76","43","4784"
"9","4","0","9","6","0","0","384","75","4","41","0","0","0","4","29","17","186"
"8","3","1","7","15","0","2","380","44","6","38","0","0","2","6","28","13","1790"
"3","2","1","2","28","0","8","0","127","8","25","8","0","0","7","24","20","318"
"7","1","0","7","6","0","2","0","50","4","0","2","1","0","3","28","14","105"
"6","3","1","5","36","0","0","38","50","9","116","0","0","0","5","28","12","736"
"1","5","0","1","36","0","4","61","40","9","49","0","0","0","5","14","12","6319"
"21","3","3","20","45","0","3","3","251","10","17","1","3","1","1","82","55","2649"
"1","7","1","0","1","0","3","12","3","2","52","0","0","3","2","2","1","37"
"2","6","1","1","6","0","0","386","29","4","85","0","0","0","4","11","4","570"
"4","1","3","1","28","0","2","0","28","8","8","2","0","0","8","16","9","197"
"1","6","1","0","10","0","1","11","13","5","47","1","0","0","4","5","4","12"
"8","6","4","5","15","2","1","386","62","6","95","0","0","1","5","21","12","603"
"2","1","2","0","3","0","2","0","15","3","23","1","0","0","3","7","4","157"
"1","1","0","1","1","0","1","0","6","2","9","0","0","1","2","3","2","110"
"5","5","5","0","1","0","1","55","7","2","139","1","0","0","2","3","2","0"
"6","3","1","6","120","0","7","95","110","16","73","4","0","0","6","59","27","932"
"9","6","2","7","10","2","3","385","66","5","95","0","0","3","2","29","17","466"
"15","2","2","14","78","0","3","19","269","13","37","0","1","3","2","89","66","2169"
"3","8","3","1","10","0","1","69","23","5","243","1","0","0","4","8","6","42"
"17","1","11","9","66","0","5","0","192","12","8","5","3","0","9","86","51","190"
"2","3","1","1","66","0","3","95","52","12","73","2","0","0","3","28","14","442"
"7","2","2","6","6","0","7","0","28","4","13","5","0","2","3","14","10","93"
"29","2","26","3","28","2","6","28","35","8","16","0","0","5","8","15","11","380"
"15","1","2","13","15","0","1","0","152","6","8","0","1","1","5","67","19","422"
"12","1","10","2","28","0","1","0","52","8","8","1","0","0","8","21","15","551"
"13","2","5","9","36","1","9","141","139","9","35","0","0","8","9","47","36","1935"
"22","2","1","22","91","0","3","68","343","14","33","1","0","0","3","107","117","2365"
"15","2","4","11","91","0","6","45","286","14","4","0","0","0","12","120","89","4108"
"5","2","1","4","91","0","5","95","107","14","68","3","0","0","5","53","27","784"
"3","7","1","2","6","0","0","387","14","4","101","0","0","0","2","12","4","71"
"12","4","2","10","28","0","1","28","64","8","91","0","1","0","2","38","17","724"
"6","1","1","5","231","1","11","0","275","22","25","0","0","0","18","83","62","3976"
"5","2","1","5","21","0","1","68","57","7","33","0","0","0","4","16","27","10"
"4","1","2","2","1","2","6","12","15","2","16","0","0","4","0","7","4","90"
"3","1","0","3","10","0","3","14","26","5","11","0","0","3","5","8","13","0"
"4","3","1","4","78","0","6","95","76","13","73","4","0","0","4","39","23","749"
"3","1","1","2","45","0","4","0","117","10","16","0","1","4","9","24","30","34"
"5","2","1","5","3","0","4","8","49","3","19","0","0","4","3","17","15","327"
"8","2","5","3","10","1","4","28","21","5","16","0","0","4","5","12","7","262"
"3","2","1","2","28","0","0","6","56","8","11","0","0","0","8","17","20","37"
"2","2","1","1","3","0","1","68","11","3","33","0","0","0","2","4","3","18"
"10","2","4","7","10","0","3","3","58","5","10","0","0","3","5","28","15","384"
"5","1","4","1","21","0","3","0","28","7","8","0","0","3","5","12","7","31"
"1","4","1","0","1","0","0","4","3","2","21","0","0","0","0","2","1","241"
"2","2","0","2","10","0","1","54","23","5","19","0","1","1","4","16","8","39"
"4","1","2","3","21","0","1","3","35","7","12","1","2","0","5","17","13","94"
"4","4","2","2","6","0","1","3","16","4","38","1","0","0","4","7","6","498"
"10","3","9","1","91","0","2","40","163","14","71","1","0","1","13","17","55","1179"
"7","3","5","3","105","0","5","95","80","15","76","3","0","0","5","43","21","740"
"3","3","1","2","3","0","3","1","22","3","31","3","0","0","3","6","5","148"
"8","2","0","8","28","0","0","2","52","8","18","0","3","0","5","34","19","234"
"6","1","1","5","36","0","3","0","118","9","16","0","2","3","7","31","33","0"
"6","6","0","6","21","1","1","385","128","7","79","0","0","0","7","20","47","844"
"4","1","2","2","21","0","4","0","79","7","8","0","1","4","6","17","26","481"
"10","4","1","9","15","1","3","384","72","6","69","0","0","3","6","37","18","936"
"5","3","1","4","78","0","3","95","97","13","73","2","0","0","3","42","20","641"
"11","1","9","2","6","0","5","0","35","4","8","0","0","0","4","10","10","821"
"1","1","1","0","1","0","3","0","8","2","8","0","0","3","2","2","2","24"
"2","1","0","2","3","0","2","0","29","3","0","0","0","2","1","15","8","0"
"5","5","2","3","36","1","7","67","63","9","47","0","0","0","7","30","29","1019"
"2","1","1","1","6","0","3","0","41","4","8","0","1","3","3","10","13","164"
"15","1","7","8","78","0","1","0","54","13","8","1","0","0","13","37","14","11218"
"4","1","0","4","55","0","9","0","117","11","8","8","0","0","11","34","18","9329"
"1","4","1","0","0","0","1","35","5","1","47","0","0","1","1","1","1","112"
"7","2","7","0","15","0","3","152","19","6","41","3","1","0","5","7","7","397"
"12","1","8","4","55","0","4","0","144","11","16","0","2","4","9","37","41","70"
"1","4","1","0","0","0","0","7","0","1","25","0","0","0","1","1","0","80"
"4","3","1","4","91","0","5","95","106","14","73","3","0","0","5","51","27","762"
"10","1","1","9","28","0","1","0","157","8","8","0","0","1","1","57","33","130"
"24","2","1","23","120","0","4","6","190","16","24","3","1","0","14","100","63","158"
"8","1","1","7","6","0","2","0","37","4","8","2","0","0","4","20","9","39"
"3","7","1","2","6","0","2","387","13","4","101","0","0","2","2","12","4","71"
"5","6","1","4","1","0","0","388","15","2","81","0","0","0","2","9","4","34"
"3","2","1","2","21","0","1","4","26","7","33","0","0","1","7","10","8","279"
"12","1","6","6","105","0","15","0","189","15","8","0","0","4","13","81","66","932"
"3","1","2","1","6","0","0","0","55","4","8","0","1","0","3","21","12","6"
"7","3","4","3","28","0","0","20","312","8","84","0","0","0","8","18","75","494"
"12","4","10","2","28","4","0","384","42","8","69","0","0","0","8","18","13","677"
"20","3","4","16","45","4","3","25","126","10","82","0","1","0","2","83","27","986"
"5","3","3","2","3","0","3","1","22","3","31","3","0","0","3","6","5","152"
"3","1","1","2","45","0","4","0","143","10","8","0","3","4","7","39","37","440"
"19","1","11","8","91","0","3","0","219","14","8","3","2","0","12","109","69","9404"
"5","2","5","0","10","0","1","152","27","5","41","1","1","0","4","6","5","294"
"6","3","1","5","91","0","5","95","106","14","73","3","0","0","5","53","27","796"
"9","1","4","5","36","1","3","0","99","9","38","3","4","0","5","44","25","80"
"8","1","5","3","28","1","1","0","89","8","12","0","1","0","6","43","22","764"
"1","2","1","0","6","0","1","18","28","4","62","0","0","0","1","8","7","50"
"22","5","4","19","210","0","2","62","185","21","202","1","1","0","13","86","47","3464"
"13","4","2","13","66","0","7","38","412","12","80","2","3","5","9","81","105","2471"
"18","3","12","6","91","0","7","95","108","14","75","5","0","0","4","49","26","996"
"5","3","1","4","10","1","1","10","36","5","59","0","0","1","1","12","8","376"
"5","3","1","4","190","0","9","95","158","20","73","5","0","0","9","74","42","1461"
"3","1","2","1","21","0","4","0","71","7","8","0","1","4","6","11","22","506"
"5","1","4","1","3","0","1","0","12","3","8","0","0","1","3","7","3","2"
"4","2","2","2","6","0","4","0","25","4","21","4","0","0","3","7","6","162"
"11","3","0","11","21","0","5","380","92","7","38","0","0","5","7","34","20","1068"
"4","4","1","3","78","0","4","96","67","13","88","2","0","0","2","41","18","516"
"4","3","2","2","36","0","1","95","31","9","75","1","0","0","1","19","9","127"
"2","1","1","1","6","0","3","0","43","4","8","0","1","3","3","11","14","34"
"2","2","1","1","3","1","0","2","10","3","33","0","0","0","2","5","3","0"
"4","8","2","3","21","0","4","69","41","7","234","4","0","0","6","17","10","13"
"0","2","0","0","10","2","0","0","15","5","13","0","0","0","3","7","5","638"
"2","1","2","0","10","6","1","0","15","5","8","1","0","0","5","5","5","6127"
"9","2","7","2","300","0","15","95","96","25","70","2","0","0","16","43","28","2127"
"6","1","6","0","10","2","5","0","0","5","8","0","0","0","5","5","0","18"
"1","6","0","1","28","0","1","384","32","8","79","0","0","0","8","13","9","335"
"5","2","2","3","15","0","1","141","27","6","35","0","0","1","6","14","8","330"
"9","1","7","2","66","0","4","0","78","12","8","0","0","4","12","21","25","720"
"6","2","4","3","66","0","3","95","53","12","68","2","0","0","3","30","14","214"
"20","5","10","11","28","4","2","384","105","8","87","0","0","2","6","55","37","754"
"4","3","1","3","3","0","2","1","15","3","31","2","0","0","3","8","4","79"
"2","2","0","2","10","26","0","95","15","5","68","0","0","0","4","13","5","322"
"21","3","0","21","28","1","1","34","124","8","78","1","2","0","1","78","38","1330"
"13","4","1","12","28","0","7","381","158","8","46","0","0","6","8","70","25","1808"
"3","5","1","2","6","0","0","34","28","4","87","0","0","0","1","13","10","375"
"7","3","1","6","66","0","2","38","62","12","119","0","0","0","8","33","16","978"
"8","1","3","5","136","1","21","0","127","17","8","1","0","0","1","31","34","347"
"13","3","2","11","21","0","1","25","57","7","82","0","0","0","3","31","14","649"
"5","4","5","0","0","0","1","6","3","1","27","1","0","0","1","1","1","115"
"7","3","2","5","91","0","5","95","106","14","73","3","0","0","5","53","27","796"
"5","3","1","4","91","0","5","95","106","14","73","3","0","0","5","51","27","414"
"4","2","4","0","66","0","1","152","38","12","41","1","1","0","11","14","12","428"
"20","6","9","12","105","0","6","61","186","15","207","1","0","4","14","100","49","1227"
"4","1","1","3","3","0","1","0","36","3","10","0","0","1","3","18","7","296"
"37","1","35","2","91","0","15","0","136","14","8","3","2","0","12","34","52","949"
"6","4","1","5","15","0","4","61","146","6","45","0","0","3","3","34","46","274"
"11","3","6","6","153","0","9","97","136","18","84","4","0","0","4","69","37","1352"
"4","1","3","1","10","0","7","0","26","5","8","0","0","7","5","11","6","395"
"15","2","4","11","171","1","6","6","152","19","24","3","1","0","14","76","56","104"
"8","1","3","5","78","0","11","0","99","13","8","0","0","5","12","34","29","1176"
"7","1","0","7","1","0","10","0","21","2","0","8","0","2","1","28","3","2485"
"4","2","0","4","10","0","2","0","306","5","22","2","2","0","3","222","56","65"
"7","2","3","4","91","0","5","5","121","14","13","2","1","0","13","72","35","156"
"4","3","1","3","136","0","7","95","132","17","73","4","0","0","7","62","33","1161"
"2","3","1","1","36","0","1","95","31","9","73","1","0","0","1","18","9","316"
"10","1","6","5","171","2","4","2","149","19","8","3","0","0","1","78","33","26"
"4","3","2","2","55","0","3","95","45","11","73","2","0","0","2","27","13","414"
"3","5","3","0","1","0","1","54","7","2","138","1","0","0","2","3","2","0"
"1","1","0","1","1","0","6","0","21","2","23","1","0","3","2","8","4","35"
"0","1","0","0","1","0","2","0","6","2","8","0","1","0","1","2","2","0"
"7","1","6","1","1","0","313","0","6","2","0","1","1","312","1","3","2","81"
"14","4","2","12","36","0","0","28","77","9","91","0","2","0","2","45","22","612"
"7","2","2","6","6","0","1","18","38","4","62","0","0","1","2","25","6","142"
"4","2","1","3","3","0","2","2","37","3","15","2","0","0","2","11","10","72"
"0","1","0","0","1","0","0","0","6","2","8","0","1","0","1","3","2","20"
"25","4","11","14","210","0","3","384","431","21","69","0","2","3","19","139","138","5594"
"18","3","2","18","28","0","2","15","149","8","17","0","4","0","0","77","29","1138"
"16","1","4","13","120","0","214","201","329","16","8","0","3","6","11","108","63","31245"
"10","3","5","6","171","0","10","95","156","19","73","6","0","0","7","73","40","1378"
"2","1","1","1","6","0","3","0","28","4","10","2","0","0","3","12","7","104"
"17","5","10","7","45","2","5","56","115","10","197","0","0","5","10","22","37","1425"
"3","7","3","1","10","1","1","69","23","5","229","1","0","0","4","9","6","46"
"0","1","0","0","231","0","0","0","66","22","30","0","0","0","22","22","22","454"
"31","1","2","29","91","0","18","0","648","14","8","17","11","1","3","138","155","64"
"9","3","2","8","210","0","9","97","170","21","84","4","0","0","8","88","43","1068"
"14","1","2","12","28","2","4","0","246","8","8","1","4","1","0","53","55","11"
"5","2","2","3","15","0","5","9","37","6","23","5","0","0","6","13","10","4"
"4","1","3","1","45","1","2","0","44","10","8","0","0","0","9","19","13","16"
"7","3","2","6","6","1","1","13","95","4","55","0","0","0","2","29","22","233"
"2","2","2","0","0","1","2","5","4","1","25","1","0","1","1","1","1","127"
"8","2","4","4","171","2","3","7","233","19","40","0","0","0","14","60","44","1845"
"7","5","5","2","45","2","3","8","34","10","37","0","0","0","7","13","9","708"
"4","3","2","2","6","0","5","388","27","4","33","0","0","5","4","8","8","14"
"2","1","1","1","36","0","4","0","94","9","8","0","1","4","8","23","36","1266"
"1","4","1","0","0","0","0","3","3","1","38","0","0","0","1","1","1","202"
"8","4","3","6","66","1","22","61","180","12","45","0","0","15","6","56","64","3232"
"14","1","1","14","210","0","2","0","195","21","21","0","0","0","16","77","29","2550"
"8","3","3","5","6","0","4","150","54","4","44","0","0","4","4","14","7","638"
"20","4","4","16","105","1","2","384","221","15","69","0","0","2","13","89","77","2162"
"1","1","1","0","1","0","4","0","12","2","8","0","0","4","1","2","4","40"
"1","1","1","0","1","1","9","0","3","2","8","0","0","0","2","2","1","301"
"3","3","1","2","6","0","1","10","32","4","59","1","0","0","1","16","8","298"
"3","2","2","1","3","0","0","84","10","3","16","0","0","0","1","5","3","28"
"12","4","2","10","15","0","1","28","59","6","91","0","0","0","2","27","17","559"
"2","1","1","1","120","0","5","0","78","16","8","2","0","0","16","39","20","522"
"2","1","2","0","0","0","2","0","3","1","23","1","0","0","1","1","1","28"
"7","1","4","3","1","0","0","0","11","2","8","0","0","0","2","9","3","35"
"3","3","1","2","21","0","1","2","32","7","17","1","0","0","7","13","9","67"
"3","3","1","2","3","0","3","1","22","3","31","3","0","0","3","6","5","148"
"4","2","4","0","66","0","2","152","40","12","41","2","1","0","11","14","13","375"
"13","3","5","10","231","0","20","119","468","22","40","0","0","20","22","81","139","2829"
"3","4","1","2","0","0","2","43","10","1","33","0","0","2","1","5","1","262"
"2","2","2","0","0","0","0","2","3","1","33","0","0","0","1","1","1","130"
"2","2","1","1","15","0","3","1","30","6","12","0","0","0","6","13","9","366"
"11","2","1","11","66","0","1","68","222","12","33","0","0","0","4","71","87","684"
"3","1","3","0","6","0","0","0","10","4","8","0","0","0","4","5","1","8"
"2","3","2","0","0","0","3","4","0","1","19","0","0","3","1","1","0","12"
"8","4","2","7","171","0","9","99","118","19","100","3","0","0","3","63","30","953"
"1","2","1","0","0","0","0","2","3","1","33","0","0","0","1","1","1","130"
"3","6","2","1","55","0","8","385","63","11","95","1","0","3","10","24","19","387"
"4","3","1","3","105","0","5","95","96","15","73","3","0","0","5","48","25","835"
"4","1","2","3","15","7","3","5","24","6","13","0","0","0","5","13","7","302"
"2","3","1","1","1","0","1","1","7","2","30","1","0","0","2","3","2","114"
"7","3","2","5","120","0","7","95","108","16","73","4","0","0","6","59","27","841"
"8","2","6","2","91","2","0","95","15","14","68","0","0","0","10","19","5","403"
"2","5","2","0","3","1","0","388","16","3","78","0","0","0","3","6","5","157"
"4","6","0","4","10","0","2","385","85","5","79","0","0","1","5","16","16","569"
"12","3","1","11","15","0","7","380","232","6","38","2","0","5","6","85","40","1746"
"6","1","3","3","1","0","1","0","51","2","8","1","0","0","2","18","11","0"
"0","3","0","0","1","0","1","159","6","2","30","1","0","0","1","2","2","156"
"4","3","1","3","15","1","3","2","51","6","19","1","1","0","5","20","14","259"
"35","2","27","8","55","19","0","380","99","11","27","0","0","0","11","38","21","1266"
"9","2","5","5","153","0","8","95","121","18","68","5","0","0","8","61","31","1162"
"4","4","2","3","21","1","1","52","30","7","127","0","0","1","4","15","11","320"
"29","2","2","28","120","0","5","28","282","16","25","1","3","4","7","106","60","6378"
"5","1","2","3","55","0","5","0","78","11","8","0","0","4","11","24","23","529"
"2","6","0","2","21","0","1","384","38","7","79","0","0","0","7","14","11","327"
"3","5","3","0","10","0","2","8","12","5","33","0","0","0","3","6","4","339"
"7","3","0","7","15","0","1","2","38","6","17","1","0","0","6","22","8","509"
"4","2","1","3","15","0","5","0","28","6","24","5","0","0","5","11","8","92"
"20","5","2","18","231","4","10","384","547","22","85","0","0","7","22","197","168","7780"
"13","2","1","13","10","0","0","18","141","5","62","0","0","0","2","66","31","1451"
"7","2","1","7","55","1","8","4","186","11","33","0","0","8","11","36","56","944"
"11","1","5","9","21","0","2","0","128","7","8","1","1","0","6","59","20","1131"
"17","5","11","6","276","0","10","9","193","24","42","0","0","0","20","54","56","1970"
"2","1","1","1","6","0","1","0","17","4","11","0","0","1","3","10","5","201"
"15","1","12","3","45","5","3","0","67","10","8","0","0","3","9","15","14","2168"
"4","2","2","2","66","0","3","95","63","12","68","2","0","0","3","32","17","218"
"6","3","1","5","36","0","3","135","123","9","67","0","0","3","2","26","34","47"
"14","7","3","13","91","1","0","69","81","14","229","0","0","0","11","59","23","550"
"16","2","1","15","153","0","2","133","638","18","46","2","1","0","2","220","113","1307"
"18","2","8","10","6","2","4","380","189","4","27","0","0","4","4","78","60","605"
"6","3","2","5","171","0","10","95","137","19","73","6","0","0","9","72","38","1261"
"4","3","1","3","6","0","5","1","33","4","31","5","0","0","4","9","7","102"
"7","6","2","5","6","0","0","386","38","4","95","0","0","0","3","22","10","372"
"5","2","3","2","28","0","2","0","35","8","16","2","0","0","8","16","15","0"
"12","5","1","11","78","0","0","67","127","13","194","0","2","0","7","77","27","1213"
"2","5","2","0","1","0","1","54","7","2","143","1","0","0","2","3","2","0"
"6","6","0","6","28","1","3","385","110","8","79","0","0","1","8","25","35","695"
"9","2","0","9","21","0","3","19","144","7","15","0","2","2","0","49","20","881"
"7","3","2","6","153","0","5","95","123","18","73","3","1","0","6","60","31","1097"
"10","2","1","9","45","1","5","18","155","10","18","0","0","0","10","77","37","1468"
"17","1","1","16","15","0","2","12","140","6","11","0","2","2","4","55","31","427"
"0","1","0","0","0","0","1","0","3","1","22","1","0","0","1","1","1","178"
"19","2","1","18","55","0","10","17","240","11","19","6","3","2","6","109","48","1971"
"5","1","1","4","28","1","0","0","23","8","8","0","0","0","8","25","7","477"
"11","2","1","10","6","0","5","12","44","4","31","0","0","0","4","27","12","460"
"6","2","2","4","15","1","5","1","50","6","12","0","0","5","6","18","12","614"
"10","1","3","7","10","1","3","0","64","5","8","0","0","3","0","39","18","161"
"12","2","2","10","153","0","10","9","370","18","10","8","13","2","5","110","75","3122"
"5","2","1","5","105","0","5","95","109","15","68","3","0","0","6","56","28","735"
"2","3","1","1","1","0","0","387","12","2","32","0","0","0","2","7","4","272"
"8","2","1","8","6","0","0","18","41","4","62","0","0","0","2","29","8","108"
"6","2","4","2","6","0","3","0","18","4","15","2","0","1","3","6","6","23"
"8","4","1","7","15","0","3","384","142","6","69","0","0","3","6","44","38","1339"
"2","5","0","2","6","0","1","69","13","4","54","1","0","0","2","8","4","0"
"7","3","1","7","120","0","7","95","141","16","73","4","0","0","7","70","35","1233"
"1","1","1","0","120","1","12","0","105","16","15","0","0","0","16","40","27","965"
"1","1","1","0","0","0","0","0","3","1","8","0","0","0","0","3","1","889"
"2","1","1","1","0","0","2","0","4","1","23","1","0","1","1","2","1","23"
"2","3","0","2","1","0","1","6","15","2","18","1","0","0","2","6","4","32"
"7","2","1","6","21","0","0","28","57","7","25","0","0","0","3","17","8","775"
"1","6","1","0","21","0","2","385","23","7","98","1","0","1","6","12","7","41"
"3","2","3","0","3","0","1","0","12","3","10","0","0","1","3","8","3","904"
"9","3","1","8","21","0","1","388","222","7","33","0","3","1","4","47","74","76"
"3","5","2","1","3","0","1","53","10","3","134","1","0","0","3","5","3","0"
"7","1","4","4","45","1","0","0","30","10","8","0","0","0","9","20","8","814"
"4","3","4","0","0","1","1","6","3","1","26","1","0","0","1","1","1","115"
"16","2","7","9","78","0","10","4","184","13","33","4","0","3","13","36","39","74"
"4","2","1","3","28","0","7","0","38","8","26","7","0","0","8","15","10","57"
"2","1","1","1","36","0","4","0","94","9","8","0","1","4","8","24","36","1266"
"20","1","13","7","36","0","8","0","149","9","8","2","0","6","6","54","37","1306"
"3","2","1","2","21","0","10","3","72","7","21","7","0","3","6","32","17","649"
"5","8","1","4","3","0","0","388","43","3","109","0","0","0","3","15","7","256"
"12","5","1","11","3","0","1","67","43","3","47","0","0","1","2","25","11","488"
"6","3","1","5","105","0","3","95","166","15","73","2","0","0","5","76","41","1337"
"14","3","1","13","21","0","0","22","231","7","68","0","1","0","1","74","53","444"
"1","1","1","0","0","0","6","0","3","1","23","1","0","1","1","1","1","333"
"4","2","1","3","6","0","1","11","24","4","22","0","0","1","4","10","9","923"
"1","2","1","0","6","0","1","0","26","4","11","0","0","1","3","12","6","58"
"13","1","3","10","10","0","1","0","129","5","8","1","0","0","5","36","43","36"
"4","8","2","2","21","0","6","388","67","7","109","1","0","1","7","25","16","328"
"2","2","1","1","3","0","2","2","12","3","33","2","0","0","3","4","3","244"
"2","1","0","2","6","0","3","0","60","4","8","0","1","0","3","16","22","59"
"2","1","1","1","6","0","3","0","44","4","8","0","1","3","3","10","14","166"
"15","3","2","13","91","0","4","15","128","14","70","4","0","0","1","46","43","9"
